Data Name,Name,lat,lon,Bed Capacity
Chevy Chase (Bed Capacity: 131),Chevy Chase House,38.9623245,-77.0858918,131
Forest Hills (Bed Capacity: 33),Forest Hills,38.9542295,-77.0679264,33
Forest Side (Bed Capacity: 33),Forest Side,38.96139,-77.0582306,33
Grand Oaks (Bed Capacity: 200),Grand Oaks,38.9364325,-77.1115672,200
Ingleside (Bed Capacity: 53),Ingleside,38.960517,-77.0616788,53
Joye (Bed Capacity: 8),Joye Assited Living,38.9678948,-77.0138368,8
Knollwood (Bed Capacity: 45),Knollwood,38.9716134,-77.0556072,45
Lisner Home (Bed Capacity: 25),Lisner Home,38.9619091,-77.0831126,25
Paradise (Bed Capacity: 55),Paradise,,,55
Sunrise (Bed Capacity: 120),Sunrise,38.9569644,-77.0705295,120
The Marigold (Bed Capacity: 15),The Marigold,38.9270569,-77.0566366,15
Thomas Circle (Bed Capacity: 27),Thomas Circle,38.9050064,-77.0310363,27
