OBJECTID,CODE,Neighborhood Name,Population (2019 ACS),Population (2018 ACS),Population living below poverty line,% below poverty line,Population age 65+,% 65+,Population that identifies as non-Hispanic white,% that identifies as non-Hispanic white,% that identifies as Hispanic and/or non-white,Base pop. for insurance variable,Population without health insurance,% without health insurance,Population age 65+ (2019 ACS)
1,N1,16th St Heights,20917,20131,2392,11.9,2760,13.7,4593,22.8,77.2,20051,1100,5.5,2651
10,N10,Cathedral Heights,18771,19081,3025,15.9,2693,14.1,13786,72.3,27.8,19081,364,1.9,2787
11,N11,Chevy Chase,7029,6991,391,5.6,1472,21.1,4518,64.6,35.4,6933,166,2.4,1550
12,N12,Chinatown,20968,20482,3814,18.6,1983,9.7,9117,44.5,55.5,19997,590,3,2040
13,N13,Columbia Heights,26158,26361,4471,17,1850,7,8398,31.9,68.1,26272,2205,8.4,2067
14,N14,Congress Heights/Shipley,10102,9977,3227,32.3,1114,11.2,173,1.7,98.3,9798,313,3.2,1006
15,N15,DC Medical Center,1612,1670,264,15.8,556,33.3,578,34.6,65.4,1442,51,3.5,574
16,N16,Douglass,11271,11129,3408,30.6,792,7.1,161,1.4,98.6,11129,747,6.7,795
17,N17,Eastland Gardens,10499,10448,3477,33.3,977,9.4,190,1.8,98.2,10442,474,4.5,1047
18,N18,Edgewood,9445,8912,2005,22.5,824,9.2,2487,27.9,72.1,8907,848,9.5,868
19,N19,Forest Hills,11500,11756,956,8.1,2142,18.2,8333,70.9,29.1,11585,454,3.9,2102
2,N2,Adams Morgan,23835,23753,1037,4.4,2220,9.3,16702,70.3,29.7,23721,783,3.3,1773
20,N20,Fort Dupont,16451,16120,4359,27,2063,12.8,76,0.5,99.5,16120,770,4.8,2121
21,N21,Fort Lincoln/Gateway,9498,9251,1338,14.5,2180,23.6,688,7.4,92.6,9025,181,2,2283
22,N22,Georgetown,8631,8358,599,7.2,867,10.4,5554,66.5,33.6,8330,179,2.2,808
23,N23,Georgetown East,14101,14602,1528,10.5,2353,16.1,11004,75.4,24.6,14378,286,2,2579
24,N24,GWU,15001,14536,2000,13.8,1439,9.9,9285,63.9,36.1,14507,443,3.1,1526
25,N25,Hill East,11100,10819,1750,16.2,822,7.6,5570,51.5,48.5,10755,249,2.3,912
26,N26,Historic Anacostia,12661,11986,5111,42.6,783,6.5,193,1.6,98.4,11959,278,2.3,824
27,N27,Kent/Palisades,19351,20005,1462,7.3,3238,16.2,13861,69.3,30.7,19995,355,1.8,3394
28,N28,Kingman Park,16609,16299,1561,9.6,1656,10.2,8257,50.7,49.3,16143,307,1.9,1623
29,N29,Lamond Riggs,12010,11667,1358,11.6,2238,19.2,1044,8.9,91.1,11667,666,5.7,2251
