School,Most Recent Day of Case,Day Announced,Resume Date,Number of Cases
Langley Elementary School,12/14/20,12/17/20,1/4/21,1
H.D. Cooke Elementary School,12/15/20,12/17/20,1/4/21,1
Dorothy I. Height Elementary School,12/15/20,12/16/20,1/4/21,1
Powell Elementary School,12/15/20,12/15/20,1/4/21,1
Amidon-Bowen Elementary School,12/3/20,12/15/20,,1
School-Within-School,12/7/20,12/15/20,,1
Ketcham Elementary School,12/11/20,12/15/20,,1
Leckie Education Campus,12/10/20,12/15/20,1/4/21,1
Key Elementary School,12/11/20,12/15/20,1/4/21,Multiple
Garrison Elementary School,12/11/20,12/14/20,1/4/21,Multiple
Tyler Elementary School,11/18/20,11/30/20,,1
Stanton Elementary School,11/23/20,11/27/20,,1
Ludlow-Taylor Elementary School,12/18/20,12/18/20,1/4/21,1
Oyster-Adams Bilingual School (Oyster),12/16/20,12/20/20,,1
Savoy Elementary School,12/18/20,12/21/20,1/4/21,1
Stoddert Elementary School,12/18/20,12/21/20,1/4/21,1
LaSalle-Backus Education Campus,12/16/20,12/21/20,,1
Hearst Elementary School,12/17/20,12/22/20,,1
Seaton Elementary School,12/22/20,12/28/20,,1
Bancroft Elementary School,12/22/20,12/28/20,1/7/21,Multiple
Aiton Elementary School,12/24/20,12/28/20,,1
Hyde-Addison Elementary School,1/5/21,1/5/21,1/21/21,1
Smothers Elementary School,1/4/21,1/6/21,1/21/21,1
Watkins Elementary School,1/4/21,1/7/21,,1
Excel Academy,1/6/21,1/8/21,1/21/21,1
Lafayette Elementary School,1/6/21,1/8/21,,1
MacFarland Middle School,1/6/21,1/11/21,1/25/21,1
Hendley Elementary School,1/8/21,1/11/21,,1
Savoy Elementary School,1/8/21,1/11/21,1/25/21,1
Kimball Elementary School,1/8/21,1/12/21,1/25/21,1
Peabody Elementary School,1/12/21,1/13/21,,1
LaSalle-Backus Education Campus,1/12/21,1/13/21,1/27/21,1
Garrison Elementary School,1/11/21,1/21/21,,1
Seaton Elementary School,1/8/21,1/19/21,,1
Ballou STAY High School,1/11/21,1/22/21,,1
Tubman Elementary School,1/22/21,1/23/21,2/8/21,1
Barnard Elementary School,1/22/21,1/23/21,2/8/21,1
Turner Elementary School,1/22/21,1/25/21,,1
Barnard Elementary School,1/22/21,1/25/21,,Multiple
Langley Elementary School,1/22/21,1/25/21,2/8/21,1
Langdon Elementary School,1/22/21,1/26/21,,1
Oyster-Adams Bilingual School (Oyster),1/26/21,1/27/21,2/9/21,1
Bancroft Elementary School,1/28/21,1/30/21,,1
Langdon Elementary School,1/29/21,1/30/21,,1
Patterson Elementary School,1/28/21,1/31/21,,1
Turner Elementary School,1/27/21,2/2/21,,1
Ketcham Elementary School,1/28/21,2/2/21,2/11/21,1
