X,Y,OBJECTID,NAME,CARES Classroom,In Person Learning,ADDRESS,FACUSE,LEVEL_,STATUS,PHONE,TOTAL_STUD,SSL,GIS_ID,WEB_URL,BLDG_NUM,SCH_PROG,CAPITALGAINS,CAPACITY,YEAR_BUILT,SQUARE_FOOTAGE,POPULATION_PLAN,LONGITUDE,LATITUDE,SCHOOL_YEA,LEA_NAME,LEA_ID,SCHOOL_NAM,SCHOOL_ID,GRADES,MAR_ID,XCOORD,YCOORD,ZIPCODE,PK3,PK4,UN_CE,FACILITY_ID
-76.99988482,38.95997961,27,LaSalle-Backus Education Campus,TRUE,FALSE,501 RIGGS ROAD NE,Elementary School,ES,Active,202-671-6340,369, ,dcps_264,http://www.lasallebackus.com/,264,264,N,406,1957,63000,425,-76.99988254,38.95997214,2020-2021,District of Columbia Public Schools,1,LaSalle-Backus Education Campus,264,PK3-8th,294489,400010.18,143562.69,20011,19,29,,DGS_0661.0
-77.01958053,38.96729201,28,Coolidge High School,FALSE,FALSE,6315 5TH STREET NW,High School,HS,Active,202-671-6080,346, ,dcps_455,http://www.coolidgeshs.org/,455,455,N,1240,1940,271300,1100,-77.01957835,38.96728457,2020-2021,District of Columbia Public Schools,1,Coolidge High School,455,9th-12th,294615,398303.3,144374.62,20012,,,7,DGS_0710.0
-77.02843231,38.90350379,29,Thomson Elementary School,TRUE,FALSE,1200 L STREET NW,Elementary School,ES,Active,202-898-4660,314, ,dcps_326,http://www.thomsondcps.org/,326,326,N,,,,,-77.02843003,38.90349634,2020-2021,District of Columbia Public Schools,1,Thomson Elementary School,326,PK3-5th,240922,397533.99,137293.77,20005,35,30,,DGS_0241.0
-76.98900086,38.89229466,30,Maury Elementary School,TRUE,FALSE,1250 CONSTITUTION AVENUE NE,Elementary School,ES,Active,202-698-3838,387, ,dcps_274,http://www.mauryelementary.com,274,274,N,276,1886,46800,325,-76.988999,38.892287,2020-2021,District of Columbia Public Schools,1,Maury Elementary School,274,PK3-5th,294511,400954.41,136049.14,20002,39,47,,DGS_0258.0
-77.02847308,38.92217999,31,Cardozo Education Campus,FALSE,FALSE,1200 CLIFTON STREET NW,High School,HS,Active,202-673-7385,797, ,dcps_454,http://www.cardozohs.com/,454,454,N,1565,1926,355400,1100,-77.02847069,38.92217286,2020-2021,District of Columbia Public Schools,1,Cardozo Education Campus,454,6th-12th,294513,397531.11,139367.02,20009,,,20,DGS_0178.0
-77.03069113,38.96054319,32,Brightwood Education Campus,TRUE,FALSE,1300 NICHOLSON STREET NW,Elementary School,ES,Active,202-722-5670,755, ,dcps_213,http://www.brightwoodec.org/,213,213,Y,,,,,-77.03068885,38.96053573,2020-2021,District of Columbia Public Schools,1,Brightwood Education Campus,213,PK3-8th,294515,397340.19,143625.7,20011,39,49,,DGS_0270.0
-76.98858811,38.91214705,33,Youth Services Center,FALSE,FALSE,1000 MOUNT OLIVET ROAD NE,Youth Engagement,YE,Active,202-576-8388,88, ,dcps_948,http://profiles.dcps.dc.gov/Youth+Services+Center,861, ,N,90,2004,,,-76.98858584,38.91213959,2020-2021,District of Columbia Public Schools,1,Youth Services Center,861,Alternative,290013,400989.94,138252.92,20002,,,1,N/A
-77.07195752,38.94073011,34,Hearst Elementary School,TRUE,FALSE,3950 37TH STREET NW,Elementary School,ES,Active,202-282-0106,312, ,dcps_258,http://www.hearstes.org/,258,258,N,181,1932,17400,325,-77.07195522,38.94072265,2020-2021,District of Columbia Public Schools,1,Hearst Elementary School,258,PK4-5th,294586,393761.89,141428.28,20008,2,43,,DGS_0550.0
-76.99918711,38.82899335,35,Hendley Elementary School,TRUE,FALSE,425 CHESAPEAKE STREET SE,Elementary School,ES,Active,202-645-3450,445, ,dcps_249,http://profiles.dcps.dc.gov/Hendley+Elementary+School,249,249,N,559,1959,73200,325,-76.99918485,38.82898591,2020-2021,District of Columbia Public Schools,1,Hendley Elementary School,249,PK3-5th,24445,400070.78,129022.18,20032,28,37,,DGS_0596.0
-76.96435854,38.87009919,36,Randle Highlands Elementary School,TRUE,FALSE,1650 30TH STREET SE,Elementary School,ES,Active,202-729-3250,333, ,dcps_316,http://www.randlehighlandselementary.org/,316,316,N,520,2003,,,-76.96435628,38.87009174,2020-2021,District of Columbia Public Schools,1,Randle Highlands Elementary School,316,PK3-5th,156337,403093.17,133585.82,20020,34,43,,DGS_0803.0
